First_Name,Last_Name,Player_ID,elo,Full Name
Salva Cardona,“Mael”,T5F589R8YH,1613.63216,Salva Cardona “Mael”
Joe,Hamell,25EV3UL7L5,1613.419621,Joe Hamell
Adrian,Mazcuñan,i4jPqW6oly,1613.235354,Adrian Mazcuñan
Alexander,Hansky,AE9Y3K8QTF,1612.471018,Alexander Hansky
Ryan,Snowdon,73N56EGBQA,1612.373258,Ryan Snowdon
Alex,Shepherd,ZX1uCYI1V2,1612.257575,Alex Shepherd
Vanish,moons,AA5GD8DW3L,1611.945406,Vanish moons
Dave,Seifried,3TUP1M80HP,1611.470997,Dave Seifried
Jamie,Sevior,xC9vOPdx0g,1611.124993,Jamie Sevior
Piotr,Wald,6HAA99UPU6,1611.077498,Piotr Wald
Connor,Meecham,1X9656YP5E,1610.98322,Connor Meecham
Bob,Fleck,PE3PYBPPVW,1610.850756,Bob Fleck
Ryan,Zentgraf,E6d12kCFSW,1610.691254,Ryan Zentgraf
Jordi,"""Asensi_no""",97OivHpsDJ,1610.578544,"Jordi ""Asensi_no"""
Yohan,Le Peuch,gbtLMlOkiX,1610.568979,Yohan Le Peuch
Tony,Lu,B4RCR27288,1610.524639,Tony Lu
aban,chavez,PNDY2X8F30,1609.556704,aban chavez
Jose,Povedano,9nByrCvHby,1609.505736,Jose Povedano
mh,banz,VWF511QCA9,1609.401001,mh banz
Miguel,Peña,wt9eReCnBx,1608.606411,Miguel Peña
Anjo,Boehm,V2MHY8Y0FP,1608.599633,Anjo Boehm
Ryan,Chong,MVAG229F6M,1608.210886,Ryan Chong
Liam,Shropshire,oHOZQPDqFr,1608.10422,Liam Shropshire
Samuel,Jimenez Del Valle,D3X17WH1DU,1607.719196,Samuel Jimenez Del Valle
Georgi,Sazonov,Q8BV35RCAA,1607.604952,Georgi Sazonov
Jesufistro,H,rszcAr4dWY,1607.533887,Jesufistro H
Russ,Vasey,ti3XXxGRBv,1607.492447,Russ Vasey
Guillermo,Borjas,A4XMLCGFU6,1607.34688,Guillermo Borjas
Alvaro,Barbeira,E7F70R1TCM,1607.157741,Alvaro Barbeira
"Gergely ""Watapi""",Papp,GT9UM4TF0W,1607.009785,"Gergely ""Watapi"" Papp"
James,Perry,RTzt2qgSiB,1606.886463,James Perry
Dani,Naiche,88AoXWDERW,1606.554569,Dani Naiche
Tomorrow,Kieber,Y050FBYJ5D,1605.816461,Tomorrow Kieber
